[27/Feb/2014:16:55:01 +0000] | 165.65.122.115 | /stats2/segment | ?country=125&country=125&gender=2&education=0&age=30 | + | 2738 | 243
[27/Feb/2014:17:03:53 +0000] | 5.12.201.151 | /static/map_stats.json |  | + | 1414794 | 252629
[27/Feb/2014:17:03:54 +0000] | 5.12.201.151 | /static/segment_comparison.json |  | + | 350 | 10149
[27/Feb/2014:17:03:55 +0000] | 5.12.201.151 | /stats/public/segment | ?&country=61&gender=0&age_ub=140 | + | 760832 | 508
[27/Feb/2014:17:04:01 +0000] | 54.227.246.164 | /stats/ping |  | - | 660 | 14
[27/Feb/2014:17:03:17 +0000] | 54.227.246.164 | /stats/segment | ?&age_ub=34 | - | 44177347 | 547
[27/Feb/2014:17:04:01 +0000] | 54.227.246.164 | /stats/partners |  | - | 9029 | 70211
[27/Feb/2014:17:04:01 +0000] | 54.227.246.164 | /stats/segment | ?&education=4 | - | 26978083 | 546
[27/Feb/2014:17:04:28 +0000] | 54.227.246.164 | /stats/segment | ?&age_lb=35&age_ub=54 | - | 8689636 | 537
[27/Feb/2014:17:04:37 +0000] | 54.227.246.164 | /stats/segment | ?&age_lb=55 | - | 3542509 | 528
[27/Feb/2014:17:04:40 +0000] | 54.227.246.164 | /stats/segment | ?&hdi=1 | - | 14154215 | 545
[27/Feb/2014:17:05:01 +0000] | 54.227.246.164 | /stats/ping |  | - | 772 | 14
[27/Feb/2014:17:05:01 +0000] | 69.203.4.189 | /stats2/value_list | ?dim=partner | + | 180241 | 14324
[27/Feb/2014:17:05:01 +0000] | 69.203.4.189 | /stats2/segment | ?country=180 | + | 10951 | 221
[27/Feb/2014:17:05:02 +0000] | 69.203.4.189 | /stats2/demographics | ?country=180 | + | 3347 | 263
[27/Feb/2014:17:05:02 +0000] | 69.203.4.189 | /stats2/segment | ?country=180&country=180&gender=0&education=0 | + | 2456 | 222
[27/Feb/2014:17:05:02 +0000] | 69.203.4.189 | /stats2/segment | ?country=180&education=2 | + | 4379 | 213
[27/Feb/2014:17:05:02 +0000] | 69.203.4.189 | /stats2/segment | ?country=180&gender=1 | + | 8854 | 227
[27/Feb/2014:17:05:02 +0000] | 69.203.4.189 | /stats2/segment | ?country=180&gender=2 | + | 7051 | 217
[27/Feb/2014:17:05:02 +0000] | 69.203.4.189 | /stats2/segment | ?country=180&education=3 | + | 2969 | 218
[27/Feb/2014:17:05:02 +0000] | 69.203.4.189 | /stats2/segment | ?country=180&education=4 | + | 2966 | 221
[27/Feb/2014:17:05:02 +0000] | 69.203.4.189 | /stats2/segment | ?country=180&age=30 | + | 4648 | 226
[27/Feb/2014:17:05:02 +0000] | 69.203.4.189 | /stats2/segment | ?country=180&age=15 | + | 6347 | 209
[27/Feb/2014:17:05:02 +0000] | 69.203.4.189 | /stats2/segment | ?country=180&age=60 | + | 3403 | 208
[27/Feb/2014:17:05:02 +0000] | 69.203.4.189 | /stats2/segment | ?country=180&age=45 | + | 6708 | 217
[27/Feb/2014:17:05:02 +0000] | 69.203.4.189 | /stats2/segment | ?country=180&age=61 | + | 2734 | 202
[27/Feb/2014:17:05:02 +0000] | 69.203.4.189 | /stats2/segment | ?country=180&hdi=4 | + | 207941 | 360
[27/Feb/2014:17:05:02 +0000] | 69.203.4.189 | /stats2/segment | ?country=180&hdi=3 | + | 209982 | 365
[27/Feb/2014:17:05:02 +0000] | 69.203.4.189 | /stats2/segment | ?country=180&hdi=2 | + | 222341 | 368
[27/Feb/2014:17:05:02 +0000] | 69.203.4.189 | /stats2/segment | ?country=180&education=1 | + | 415188 | 198
[27/Feb/2014:17:05:02 +0000] | 69.203.4.189 | /stats2/segment | ?country=180&hdi=1 | + | 261775 | 363
[27/Feb/2014:17:05:03 +0000] | 54.227.246.164 | /stats2/segment |  | - | 207392 | 660
[27/Feb/2014:17:05:03 +0000] | 161.38.221.172 | /stats/totalvotes |  | + | 214870 | 45
[27/Feb/2014:17:05:05 +0000] | 127.0.0.1 | /stats/public/segment | ?age_ub=34 | + | 6707 | 547
[27/Feb/2014:17:05:05 +0000] | 127.0.0.1 | /stats/public/segment | ?age_lb=35&age_ub=54 | + | 7351 | 537
[27/Feb/2014:17:05:05 +0000] | 127.0.0.1 | /stats/public/segment | ?gender=1 | + | 4765 | 546
[27/Feb/2014:17:05:05 +0000] | 127.0.0.1 | /stats/public/segment | ?age_lb=55 | + | 2732 | 528
[27/Feb/2014:17:05:05 +0000] | 127.0.0.1 | /stats/public/segment | ?hdi=1 | + | 2656 | 545
[27/Feb/2014:17:05:05 +0000] | 127.0.0.1 | /stats/public/segment | ?hdi=2 | + | 2709 | 546
[27/Feb/2014:17:05:05 +0000] | 127.0.0.1 | /stats/public/segment | ?hdi=3 | + | 2384 | 533
[27/Feb/2014:17:05:05 +0000] | 127.0.0.1 | /stats/public/segment | ?hdi=4 | + | 2085 | 531
[27/Feb/2014:17:05:05 +0000] | 127.0.0.1 | /stats/public/segment | ?gender=2 | + | 1203767 | 546
[27/Feb/2014:17:05:05 +0000] | 127.0.0.1 | /stats/public/segment | ? | + | 1359126 | 548
[27/Feb/2014:17:05:07 +0000] | 161.38.221.172 | /static/map_stats.json |  | + | 1582417 | 252629
[27/Feb/2014:17:05:09 +0000] | 161.38.221.172 | /static/segment_comparison.json |  | + | 296 | 10149
[27/Feb/2014:17:05:09 +0000] | 161.38.221.172 | /stats/public/segment | ?&country=16&gender=0&age_ub=140 | + | 501340 | 511
[27/Feb/2014:17:05:10 +0000] | 127.0.0.1 | * |  | - | 123 | 0
[27/Feb/2014:17:05:11 +0000] | 127.0.0.1 | * |  | - | 170 | 0
[27/Feb/2014:17:05:12 +0000] | 127.0.0.1 | * |  | - | 182 | 0
[27/Feb/2014:17:04:55 +0000] | 54.227.246.164 | /stats/segment | ?&hdi=2 | - | 21637508 | 546
[27/Feb/2014:17:05:19 +0000] | 127.0.0.1 | * |  | - | 398 | 0
[27/Feb/2014:17:05:16 +0000] | 54.227.246.164 | /stats/segment | ?&hdi=3 | - | 5270773 | 533
[27/Feb/2014:17:05:51 +0000] | 74.82.64.145 | /stats/totalvotes |  | + | 1556 | 45
[27/Feb/2014:17:06:01 +0000] | 54.227.246.164 | /stats/ping |  | - | 768 | 14
[27/Feb/2014:17:06:01 +0000] | 54.227.246.164 | /stats/partners |  | - | 11126 | 70211
[27/Feb/2014:17:06:15 +0000] | 74.82.64.160 | /static/map_stats.json |  | + | 307633 | 252629
[27/Feb/2014:17:06:22 +0000] | 74.82.64.161 | /static/segment_comparison.json |  | + | 421 | 10149
[27/Feb/2014:17:05:22 +0000] | 54.227.246.164 | /stats/ |  | - | 61836423 | 205
[27/Feb/2014:17:06:23 +0000] | 54.227.246.164 | /stats/tseries/2013-03-22/2013-03-08 |  | X | 117162 | 487959
[27/Feb/2014:17:06:26 +0000] | 74.82.64.161 | /stats/public/segment | ?&country=65&gender=0null | - | 5599 | 406
[27/Feb/2014:17:06:26 +0000] | 127.0.0.1 | * |  | - | 158 | 0
[27/Feb/2014:17:07:02 +0000] | 54.227.246.164 | /stats/ping |  | - | 638 | 14
[27/Feb/2014:17:07:35 +0000] | 88.211.195.242 | /stats2/value_list | ?dim=partner | + | 30197 | 14324
[27/Feb/2014:17:07:35 +0000] | 88.211.195.242 | /stats2/demographics |  | + | 14510 | 1199
[27/Feb/2014:17:07:36 +0000] | 88.211.195.242 | /stats2/segment | ? | + | 339665 | 252
[27/Feb/2014:17:07:36 +0000] | 88.211.195.242 | /stats2/segment | ?&gender=1 | + | 2286 | 249
[27/Feb/2014:17:07:36 +0000] | 88.211.195.242 | /stats2/segment | ?&country=0&gender=0&education=0 | + | 20229 | 252
[27/Feb/2014:17:07:36 +0000] | 88.211.195.242 | /stats2/segment | ?&gender=2 | + | 6080 | 252
[27/Feb/2014:17:07:36 +0000] | 88.211.195.242 | /stats2/segment | ?&education=2 | + | 5904 | 249
[27/Feb/2014:17:07:36 +0000] | 88.211.195.242 | /stats2/segment | ?&education=1 | + | 8836 | 246
[27/Feb/2014:17:07:36 +0000] | 88.211.195.242 | /stats2/countries |  | + | 977088 | 32379
[27/Feb/2014:17:07:37 +0000] | 88.211.195.242 | /stats2/segment | ?&education=4 | + | 2887 | 252
[27/Feb/2014:17:07:37 +0000] | 88.211.195.242 | /stats2/segment | ?&education=3 | + | 2205 | 246
[27/Feb/2014:17:07:37 +0000] | 88.211.195.242 | /stats2/segment | ?&age=15 | + | 2267 | 249
[27/Feb/2014:17:07:37 +0000] | 88.211.195.242 | /stats2/segment | ?&age=45 | + | 2239 | 248
[27/Feb/2014:17:07:37 +0000] | 88.211.195.242 | /stats2/segment | ?&age=30 | + | 2233 | 253
[27/Feb/2014:17:07:37 +0000] | 88.211.195.242 | /stats2/segment | ?&hdi=1 | + | 29121 | 363
[27/Feb/2014:17:07:37 +0000] | 88.211.195.242 | /stats2/segment | ?&hdi=2 | + | 46518 | 369
[27/Feb/2014:17:07:37 +0000] | 88.211.195.242 | /stats2/segment | ?&hdi=3 | + | 61982 | 366
[27/Feb/2014:17:07:37 +0000] | 88.211.195.242 | /stats2/segment | ?&hdi=4 | + | 54485 | 360
[27/Feb/2014:17:07:38 +0000] | 88.211.195.242 | /stats2/segment | ?&age=61 | + | 2658 | 238
[27/Feb/2014:17:07:40 +0000] | 88.211.195.242 | /stats2/segment | ?&age=60 | + | 8254 | 247
[27/Feb/2014:17:07:41 +0000] | 95.199.17.16 | /stats/totalvotes |  | + | 1441 | 45
[27/Feb/2014:17:07:42 +0000] | 95.199.17.16 | /static/map_stats.json |  | + | 553444 | 252629
[27/Feb/2014:17:07:43 +0000] | 95.199.17.16 | /static/segment_comparison.json |  | + | 419 | 10149
[27/Feb/2014:17:07:43 +0000] | 95.199.17.16 | /stats/public/segment | ?&country=7&gender=0&age_ub=140 | + | 268713 | 511
[27/Feb/2014:17:07:45 +0000] | 127.0.0.1 | * |  | - | 4633 | 0
[27/Feb/2014:17:07:51 +0000] | 127.0.0.1 | * |  | - | 168 | 0
[27/Feb/2014:17:08:01 +0000] | 54.227.246.164 | /stats/ping |  | - | 670 | 14
[27/Feb/2014:17:08:01 +0000] | 54.227.246.164 | /stats/partners |  | - | 614407 | 70211
